Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
GCH,8.35,3/18/2016,4:00pm,0.05,8.28,8.62,8.28,16872,8.3
IF,5.99,3/18/2016,4:00pm,-0.05,6.07,6.07,5.99,3149,6.04
ISL,16.8,3/18/2016,4:00pm,-0.04,16.85,16.99,16.7,4716,16.84
JEQ,7.23,3/18/2016,4:00pm,-0.02,7.18,7.25,7.18,10949,7.25
SGF,9.08,3/18/2016,4:00pm,0.02,9.09,9.14,9.07,11922,9.06
ABIL,6.38,3/18/2016,3:59pm,0.08,6.41,6.39,6.15,6043,6.3
ABILW,0.6899,3/17/2016,3:25pm,0,N/A,N/A,N/A,0,0.6899
ABMD,87.53,3/18/2016,4:00pm,1.96,86,88.65,85.68,414956,85.57
ABM,31.83,3/18/2016,4:00pm,0.05,31.92,32,31.55,619711,31.78
AXAS,1.15,3/18/2016,4:00pm,-0.04,1.21,1.25,1.11,1232917,1.19
ACTG,3.83,3/18/2016,4:00pm,0.03,3.83,3.97,3.6,1661494,3.8
ACHC,52.37,3/18/2016,4:00pm,2.1,50.18,52.4,50.18,1161500,50.27
ACAD,19.79,3/18/2016,4:00pm,0.26,19.57,19.88,18.99,3040513,19.53
AKR,34.53,3/18/2016,4:03pm,-0.47,35.16,35.16,34.4,969890,35
ACST,1.6289,3/17/2016,2:41pm,0,N/A,N/A,N/A,22,1.6289
AXDX,13.17,3/18/2016,4:00pm,0.68,12.55,13.28,12.47,314662,12.49
XLRN,25.31,3/18/2016,4:00pm,1.67,23.74,25.46,23.17,767213,23.64
ACN,107.77,3/18/2016,4:02pm,-0.79,108.73,108.73,107.19,8616844,108.56
ANCX,19.22,3/18/2016,4:00pm,0.26,19.06,19.48,18.64,25083,18.96
ACCO,8.15,3/18/2016,4:03pm,0.17,8.03,8.18,7.97,824103,7.98
ARAY,5.38,3/18/2016,4:00pm,0.26,5.16,5.41,5.06,836553,5.12
ACW,1.76,3/18/2016,4:02pm,0.03,1.76,1.78,1.68,365012,1.73
VXDN,7.35,3/18/2016,1:59pm,-0.64,8.09,8.09,7.31,8217,7.99
VXUP,7.7254,3/17/2016,3:41pm,0,7.73,N/A,N/A,117,7.7254
ACRX,3.08,3/18/2016,4:00pm,-0.19,3.2,3.25,3.03,977589,3.27
ACET,21.78,3/18/2016,4:00pm,0.02,21.88,22.05,21.64,194757,21.76
AKAO,3.24,3/18/2016,4:00pm,0.06,3.19,3.3,3.15,38236,3.18
ACHN,7.26,3/18/2016,4:00pm,0.24,7.14,7.37,7,3884259,7.02
ACIW,20.02,3/18/2016,4:00pm,0.05,20.06,20.24,19.83,1259094,19.97
ACRS,15.71,3/18/2016,4:00pm,-0.28,16.11,16.11,15.52,23881,15.99
ACU,16.15,3/18/2016,4:05pm,-0.32,16.15,16.36,16.15,2182,16.47
ACNB,22.35,3/18/2016,4:00pm,0.26,22,22.35,21.7,6139,22.09
ACOR,26.43,3/18/2016,4:00pm,0.82,25.76,26.85,25.52,1903365,25.61
ATV,4.61,3/18/2016,4:02pm,-0.06,4.54,4.84,4.38,23188,4.67
AIII,1.55,3/18/2016,4:01pm,0.21,1.3,1.56,1.24,19353,1.34
ATNM,2.04,3/18/2016,4:00pm,0.14,1.95,2.08,1.93,318823,1.9
ACTS,1.42,3/18/2016,3:58pm,-0.01,1.42,1.42,1.42,100,1.43
ACPW,0.95,3/18/2016,4:00pm,-0.08,1,1.03,0.95,91182,1.03
ATVI,32.2,3/18/2016,4:00pm,-0.4,32.68,32.68,31.76,11477107,32.6
ACTA,9.4,3/18/2016,4:00pm,0.2,9.27,9.5,9.22,235432,9.2
ATU,23.97,3/18/2016,4:04pm,-0.4,24.5,24.5,23.97,887216,24.37
AYI,220.24,3/18/2016,4:05pm,-4.38,224.27,224.27,218.58,1189472,224.62
ACUR,2.15,3/18/2016,4:00pm,0.03,2.12,2.15,2.08,74525,2.12
ACXM,21.78,3/18/2016,4:00pm,0.61,21.28,22.22,21.28,760809,21.17
ADMS,12.64,3/18/2016,4:00pm,0.22,12.51,12.77,12.07,487271,12.42
ADMP,5.47,3/18/2016,4:00pm,0.24,5.19,5.49,5.15,47468,5.23
ADX,12.51,3/18/2016,4:05pm,0.01,12.55,12.6,12.51,97048,12.5
PEO,18.3,3/18/2016,4:00pm,0,18.4,18.46,18.19,107023,18.3
AE,39.1,3/18/2016,4:01pm,-2.29,41.73,43,39.1,20235,41.39
ADAP,7.61,3/18/2016,4:00pm,0.08,7.51,7.79,7.41,107697,7.53
ADK^A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ADK,2.3,3/18/2016,4:03pm,0.1,2.25,2.37,2.19,18965,2.2
ADUS,17.11,3/18/2016,4:00pm,0.31,16.96,17.33,16.69,93117,16.8
AEY,2.07,3/18/2016,4:00pm,0.09,1.99,2.07,1.95,9624,1.98
AGRO,12.42,3/18/2016,4:03pm,-0.44,12.85,13.25,12.33,834348,12.86
ADPT,56.2,3/18/2016,4:03pm,-1.63,58.14,58.52,55.8,636188,57.83
IOTS,5.85,3/18/2016,4:00pm,0.27,5.55,5.85,5.31,23946,5.58
ADMA,5.79,3/18/2016,4:00pm,0.66,5.26,5.97,5.22,44545,5.13
ADBE,93.42,3/18/2016,4:00pm,3.46,97.96,98,93.11,12530111,89.96
ADT,41.08,3/18/2016,4:00pm,-0.15,41.28,41.29,41.05,3575165,41.23
